,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,VWAP,mTIMESTAMP,CA,symChange
68,60d9b9dd758776000816a68e,STLTECH,EQ,N,267.5,264.05,267.5,265.0,265.0,264.9,194238,51623182.65,280.0,108.8,4042,INE089C01029,2021-06-28,2021-06-27T18:30:00.000Z,2021-06-28T12:00:29.977Z,2021-06-28T12:00:29.977Z,0,265.77,28-Jun-2021,,
69,60db0b609d5cc50008613333,STLTECH,EQ,N,266.65,260.25,266.3,260.7,260.85,265.0,221360,58039653.55,280.0,108.8,5964,INE089C01029,2021-06-29,2021-06-28T18:30:00.000Z,2021-06-29T12:00:32.883Z,2021-06-29T12:00:32.883Z,0,262.2,29-Jun-2021,,
70,60dc5cdc7f32fd0009386c6a,STLTECH,EQ,N,267.0,260.85,262.5,264.4,265.0,260.7,343332,90708693.95,280.0,108.8,6794,INE089C01029,2021-06-30,2021-06-29T18:30:00.000Z,2021-06-30T12:00:28.359Z,2021-06-30T12:00:28.359Z,0,264.2,30-Jun-2021,,
71,60ddae6115ea3f0008fe5224,STLTECH,EQ,N,281.65,264.9,267.0,273.5,274.8,264.4,2182068,599661144.5,281.65,108.8,31421,INE089C01029,2021-07-01,2021-06-30T18:30:00.000Z,2021-07-01T12:00:33.818Z,2021-07-01T12:00:33.818Z,0,274.81,01-Jul-2021,,
72,60deffe3f20fbd0009ce6138,STLTECH,EQ,N,289.0,277.0,279.0,281.35,280.75,273.5,2669330,758433748.6,289.0,108.8,48516,INE089C01029,2021-07-02,2021-07-01T18:30:00.000Z,2021-07-02T12:00:35.217Z,2021-07-02T12:00:35.217Z,0,284.13,02-Jul-2021,,
73,60e2f461d502fe0008ce992a,STLTECH,EQ,N,289.0,283.0,284.4,285.15,286.0,281.35,826452,236475890.25,289.0,115.5,13905,INE089C01029,2021-07-05,2021-07-04T18:30:00.000Z,2021-07-05T12:00:33.281Z,2021-07-05T12:00:33.281Z,0,286.13,05-Jul-2021,,
74,60e445e3d77ada00087bcfb3,STLTECH,EQ,N,289.0,278.2,287.7,280.7,279.0,285.15,502913,142298085.9,289.0,115.5,12962,INE089C01029,2021-07-06,2021-07-05T18:30:00.000Z,2021-07-06T12:00:35.425Z,2021-07-06T12:00:35.425Z,0,282.95,06-Jul-2021,,
75,60e5976225a08e00087c0a6e,STLTECH,EQ,N,281.7,275.15,281.0,277.8,278.5,280.7,343082,95378726.35,289.0,115.5,6934,INE089C01029,2021-07-07,2021-07-06T18:30:00.000Z,2021-07-07T12:00:34.908Z,2021-07-07T12:00:34.908Z,0,278.01,07-Jul-2021,,
76,60e6e8e16972b0000896efd4,STLTECH,EQ,N,280.4,272.0,278.6,277.8,277.5,277.8,358525,99018020.5,289.0,115.5,7297,INE089C01029,2021-07-08,2021-07-07T18:30:00.000Z,2021-07-08T12:00:33.398Z,2021-07-08T12:00:33.398Z,0,276.18,08-Jul-2021,,
77,60e83a84b37c0d0008397662,STLTECH,EQ,N,290.8,271.5,276.6,286.1,284.65,277.8,952242,268561480.2,290.8,115.5,16311,INE089C01029,2021-07-09,2021-07-08T18:30:00.000Z,2021-07-09T12:01:08.974Z,2021-07-09T12:01:08.974Z,0,282.03,09-Jul-2021,,
78,60ec2edb4341d20008421dc2,STLTECH,EQ,N,293.9,281.0,284.0,283.0,282.15,286.1,1041132,300118379.75,293.9,115.5,21266,INE089C01029,2021-07-12,2021-07-11T18:30:00.000Z,2021-07-12T12:00:27.452Z,2021-07-12T12:00:27.452Z,0,288.26,12-Jul-2021,,
