,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,VWAP,mTIMESTAMP,symChange,CA
35,6107de7f4c6c270008f218ac,ASALCBR,EQ,N,486.45,450.55,481.0,453.55,456.0,476.15,166260,77340860.05,516.0,218.1,7879,INE073G01016,2021-08-02,2021-08-01T18:30:00.000Z,2021-08-02T12:01:03.751Z,2021-08-02T12:01:03.751Z,0,465.18,02-Aug-2021,,
36,61092fe3ddfad700096fd9d5,ASALCBR,EQ,N,463.5,438.5,459.0,445.2,444.55,453.55,156087,70134391.05,516.0,218.1,8037,INE073G01016,2021-08-03,2021-08-02T18:30:00.000Z,2021-08-03T12:00:35.191Z,2021-08-03T12:00:35.191Z,0,449.33,03-Aug-2021,,
37,610a815dddfad70009998ed3,ASALCBR,EQ,N,458.45,440.55,447.0,444.4,441.55,445.2,71588,32212358.2,516.0,218.1,4448,INE073G01016,2021-08-04,2021-08-03T18:30:00.000Z,2021-08-04T12:00:29.670Z,2021-08-04T12:00:29.670Z,0,449.97,04-Aug-2021,,
38,610bd301c5cd9d000859230e,ASALCBR,EQ,N,444.4,430.2,444.4,437.35,437.9,444.4,82319,35827167.35,516.0,218.1,4583,INE073G01016,2021-08-05,2021-08-04T18:30:00.000Z,2021-08-05T12:01:05.251Z,2021-08-05T12:01:05.251Z,0,435.22,05-Aug-2021,,
39,610d24621ad12f0009efa963,ASALCBR,EQ,N,479.8,434.0,434.0,460.5,460.0,437.35,160528,74121877.05,516.0,218.1,8707,INE073G01016,2021-08-06,2021-08-05T18:30:00.000Z,2021-08-06T12:00:34.978Z,2021-08-06T12:00:34.978Z,0,461.74,06-Aug-2021,,
40,611118e24df23100084ea976,ASALCBR,EQ,N,479.9,465.0,465.0,469.4,469.35,460.5,71376,33673252.65,516.0,236.65,3954,INE073G01016,2021-08-09,2021-08-08T18:30:00.000Z,2021-08-09T12:00:34.290Z,2021-08-09T12:00:34.290Z,0,471.77,09-Aug-2021,,
41,61126a64cce4c40008592fe8,ASALCBR,EQ,N,476.95,443.8,473.8,456.4,458.0,469.4,65993,30446149.65,516.0,236.65,4209,INE073G01016,2021-08-10,2021-08-09T18:30:00.000Z,2021-08-10T12:00:36.151Z,2021-08-10T12:00:36.151Z,0,461.35,10-Aug-2021,,
42,6113bbdc3759be0008112174,ASALCBR,EQ,N,461.9,440.0,447.0,456.2,454.05,456.4,54123,24355382.05,516.0,236.65,4076,INE073G01016,2021-08-11,2021-08-10T18:30:00.000Z,2021-08-11T12:00:28.600Z,2021-08-11T12:00:28.600Z,0,450.0,11-Aug-2021,,
43,61150d62ea5aa20008b5ed60,ASALCBR,EQ,N,473.85,459.55,462.0,465.55,465.0,456.2,69365,32385015.95,516.0,236.65,3263,INE073G01016,2021-08-12,2021-08-11T18:30:00.000Z,2021-08-12T12:00:34.649Z,2021-08-12T12:00:34.649Z,0,466.88,12-Aug-2021,,"[{'symbol': 'ASALCBR', 'series': 'EQ', 'ind': '-', 'faceVal': '10', 'subject': ' Annual General Meeting/Dividend - Re 1 Per Share', 'exDate': '12-Aug-2021', 'recDate': '-', 'bcStartDate': '14-Aug-2021', 'bcEndDate': '20-Aug-2021', 'ndStartDate': '-', 'comp': 'Associated Alcohols & Breweries Ltd.', 'isin': 'INE073G01016', 'ndEndDate': '-', 'caBroadcastDate': None}]"
44,61165ee45fd7730008dabd57,ASALCBR,EQ,N,474.0,458.8,469.7,461.6,462.9,465.55,34356,16018900.5,516.0,236.65,2496,INE073G01016,2021-08-13,2021-08-12T18:30:00.000Z,2021-08-13T12:00:36.663Z,2021-08-13T12:00:36.663Z,0,466.26,13-Aug-2021,,
45,611a5362cce4c4000835c07c,ASALCBR,EQ,N,460.0,445.0,459.95,449.75,449.65,461.6,46125,20905383.35,516.0,236.65,2670,INE073G01016,2021-08-16,2021-08-15T18:30:00.000Z,2021-08-16T12:00:34.121Z,2021-08-16T12:00:34.121Z,0,453.23,16-Aug-2021,,
46,611ba501cce4c4000862aac7,ASALCBR,EQ,N,454.1,439.1,452.8,446.15,443.0,449.75,50943,22723962.85,516.0,236.65,3072,INE073G01016,2021-08-17,2021-08-16T18:30:00.000Z,2021-08-17T12:01:05.672Z,2021-08-17T12:01:05.672Z,0,446.07,17-Aug-2021,,
47,611cf664913015000809b7e7,ASALCBR,EQ,N,468.35,440.0,444.9,456.15,453.95,446.15,92508,42088164.65,516.0,236.65,6452,INE073G01016,2021-08-18,2021-08-17T18:30:00.000Z,2021-08-18T12:00:36.344Z,2021-08-18T12:00:36.344Z,0,454.97,18-Aug-2021,,
48,611f9962d448d000082abe6f,ASALCBR,EQ,N,456.0,438.2,449.0,441.5,439.0,456.15,43408,19327337.55,516.0,236.65,3935,INE073G01016,2021-08-20,2021-08-19T18:30:00.000Z,2021-08-20T12:00:34.389Z,2021-08-20T12:00:34.389Z,0,445.25,20-Aug-2021,,
49,61238de28095fa0008ef2485,ASALCBR,EQ,N,466.0,415.0,443.0,422.35,420.0,441.5,68953,29960763.5,516.0,236.65,4599,INE073G01016,2021-08-23,2021-08-22T18:30:00.000Z,2021-08-23T12:00:34.463Z,2021-08-23T12:00:34.463Z,0,434.51,23-Aug-2021,,
50,6124df80a9392500085198df,ASALCBR,EQ,N,432.05,417.45,418.1,429.65,429.8,422.35,40096,17004761.05,516.0,236.65,3655,INE073G01016,2021-08-24,2021-08-23T18:30:00.000Z,2021-08-24T12:01:04.059Z,2021-08-24T12:01:04.059Z,0,424.1,24-Aug-2021,,
51,612630dc2596f30008058878,ASALCBR,EQ,N,435.45,427.0,432.85,432.45,434.0,429.65,24402,10556939.0,516.0,236.65,1615,INE073G01016,2021-08-25,2021-08-24T18:30:00.000Z,2021-08-25T12:00:28.342Z,2021-08-25T12:00:28.342Z,0,432.63,25-Aug-2021,,
52,612782662596f300080591a2,ASALCBR,EQ,N,439.0,425.0,434.95,428.45,428.2,432.45,20768,8976401.25,516.0,236.65,1744,INE073G01016,2021-08-26,2021-08-25T18:30:00.000Z,2021-08-26T12:00:38.776Z,2021-08-26T12:00:38.776Z,0,432.22,26-Aug-2021,,
53,6128d3ff91221d0009d5ab5f,ASALCBR,EQ,N,441.0,425.0,433.5,433.85,441.0,428.45,40690,17531866.25,516.0,236.65,2307,INE073G01016,2021-08-27,2021-08-26T18:30:00.000Z,2021-08-27T12:01:03.532Z,2021-08-27T12:01:03.532Z,0,430.86,27-Aug-2021,,
54,612cc865f99d720008a94c9b,ASALCBR,EQ,N,448.8,436.2,439.0,439.8,436.25,433.85,35854,15831289.0,516.0,236.65,2624,INE073G01016,2021-08-30,2021-08-29T18:30:00.000Z,2021-08-30T12:00:37.523Z,2021-08-30T12:00:37.523Z,0,441.55,30-Aug-2021,,
55,612e19dceb0c13000813871c,ASALCBR,EQ,N,444.9,436.15,442.0,437.95,439.1,439.8,25038,11032038.05,516.0,236.65,2003,INE073G01016,2021-08-31,2021-08-30T18:30:00.000Z,2021-08-31T12:00:28.807Z,2021-08-31T12:00:28.807Z,0,440.61,31-Aug-2021,,
56,612f6b62fca57e0008dc528d,ASALCBR,EQ,N,443.25,432.05,440.95,435.9,437.95,437.95,30845,13476064.55,516.0,236.65,2442,INE073G01016,2021-09-01,2021-08-31T18:30:00.000Z,2021-09-01T12:00:34.611Z,2021-09-01T12:00:34.611Z,0,436.9,01-Sep-2021,,
57,6130bcdeadef1200085045a2,ASALCBR,EQ,N,453.05,441.6,445.0,445.1,443.8,435.9,74262,33157637.2,516.0,236.65,4211,INE073G01016,2021-09-02,2021-09-01T18:30:00.000Z,2021-09-02T12:00:30.475Z,2021-09-02T12:00:30.475Z,0,446.5,02-Sep-2021,,
58,61320e7f4f4d7600089d8e91,ASALCBR,EQ,N,461.0,445.25,447.95,452.85,452.0,445.1,102993,46757505.05,516.0,236.65,5568,INE073G01016,2021-09-03,2021-09-02T18:30:00.000Z,2021-09-03T12:01:03.912Z,2021-09-03T12:01:03.912Z,0,453.99,03-Sep-2021,,
59,613602e366f15f00089e91a1,ASALCBR,EQ,N,458.05,446.25,455.9,447.8,448.5,452.85,30537,13795961.75,516.0,236.65,2317,INE073G01016,2021-09-06,2021-09-05T18:30:00.000Z,2021-09-06T12:00:35.900Z,2021-09-06T12:00:35.900Z,0,451.78,06-Sep-2021,,
60,6137547feb333d0008c0eee2,ASALCBR,EQ,N,449.75,437.8,446.25,439.45,440.5,447.8,32381,14305513.8,516.0,236.65,2647,INE073G01016,2021-09-07,2021-09-06T18:30:00.000Z,2021-09-07T12:01:03.377Z,2021-09-07T12:01:03.377Z,0,441.79,07-Sep-2021,,
61,6138a5dc5a558200095d3579,ASALCBR,EQ,N,443.95,436.0,442.0,437.4,438.95,439.45,28383,12478727.55,516.0,236.65,2494,INE073G01016,2021-09-08,2021-09-07T18:30:00.000Z,2021-09-08T12:00:28.765Z,2021-09-08T12:00:28.765Z,0,439.65,08-Sep-2021,,
62,6139f7689241480008a1a803,ASALCBR,EQ,N,444.7,437.15,438.0,443.35,443.5,437.4,33382,14766145.6,516.0,236.65,2903,INE073G01016,2021-09-09,2021-09-08T18:30:00.000Z,2021-09-09T12:00:40.130Z,2021-09-09T12:00:40.130Z,0,442.34,09-Sep-2021,,
63,60d07f81b6df770008f3066f,ASALCBR,EQ,N,510.0,479.15,485.0,501.5,500.9,497.0,209102,104844770.05,510.0,218.1,13050,INE073G01016,2021-06-21,2021-06-20T18:30:00.000Z,2021-06-21T12:01:05.617Z,2021-06-21T12:01:05.617Z,0,501.4,21-Jun-2021,,
64,60d1d0e39d5cc5000870737c,ASALCBR,EQ,N,506.5,490.0,504.95,495.3,496.45,501.5,122500,60882779.85,510.0,218.1,7624,INE073G01016,2021-06-22,2021-06-21T18:30:00.000Z,2021-06-22T12:00:35.817Z,2021-06-22T12:00:35.817Z,0,497.0,22-Jun-2021,,
65,60d3227f09721b000810145d,ASALCBR,EQ,N,502.65,485.0,499.9,489.65,490.25,495.3,86065,42590685.05,510.0,218.1,4175,INE073G01016,2021-06-23,2021-06-22T18:30:00.000Z,2021-06-23T12:01:03.474Z,2021-06-23T12:01:03.474Z,0,494.87,23-Jun-2021,,
66,60d473e4b6726400082d87aa,ASALCBR,EQ,N,495.0,475.0,492.0,482.6,480.0,489.65,58862,28519590.9,510.0,218.1,3348,INE073G01016,2021-06-24,2021-06-23T18:30:00.000Z,2021-06-24T12:00:36.189Z,2021-06-24T12:00:36.189Z,0,484.52,24-Jun-2021,,
